Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
18–20,Female,Yes,Dead Poets Society,2–3 times,1–6 months ago,4,3,4,4,5,3,3,3,2,1,4.0,2.4
21–23,Female,Yes,A Ghost Story,1 time,More than 6 months ago,5,5,5,5,4,3,4,5,4,4,4.8,4.0
24 or above,Male,Yes,Midnight Cowboy,1 time,More than 6 months ago,5,5,4,4,4,2,5,4,2,4,4.4,3.4
24 or above,Male,Yes,Ida,1 time,More than 6 months ago,3,5,5,5,4,3,4,2,4,3,4.4,3.2
21–23,Male,Yes,Good Will Hunting,More than 3 times,1–6 months ago,4,4,4,3,4,4,4,3,5,3,3.8,3.8
18–20,Male,Yes,Spider-Man Into the Spider-Verse,1 time,1–6 months ago,5,5,5,5,5,5,4,2,4,4,5.0,3.8
21–23,Male,Yes,Blue Valentine,1 time,1–6 months ago,3,1,2,3,3,2,2,1,1,2,2.4,1.6
21–23,Male,Yes,Pan's Labyrinth,1 time,Within last 1 month,4,4,4,4,4,3,5,4,4,4,4.0,4.0
Under 18,Female,Yes,Moana,1 time,Within last 1 month,3,3,4,3,2,3,2,3,2,1,3.0,2.2
18–20,Prefer not to say,Yes,Lady Bird,More than 3 times,1–6 months ago,5,5,5,5,4,4,4,4,5,5,4.8,4.4
24 or above,Female,Yes,About Time,1 time,Within last 1 month,5,4,5,5,5,4,4,5,4,3,4.8,4.0
18–20,Female,Yes,Mean Girls,More than 3 times,Within last 1 month,5,4,4,4,3,3,3,3,4,3,4.0,3.2
18–20,Prefer not to say,Yes,Dead Poets Society,More than 3 times,Within last 1 month,1,1,1,2,2,2,2,2,3,3,1.4,2.4
24 or above,Female,Yes,Scenes from a Marriage,2–3 times,More than 6 months ago,4,5,4,5,4,2,5,3,4,3,4.4,3.4
24 or above,Male,Yes,The Pursuit of Happyness,More than 3 times,1–6 months ago,4,4,5,3,4,3,3,4,3,4,4.0,3.4
24 or above,Female,Yes,One Flew Over the Cuckoo's Nest,1 time,More than 6 months ago,4,5,3,2,3,4,4,4,3,4,3.4,3.8
24 or above,Female,Yes,Saving Private Ryan,1 time,More than 6 months ago,4,5,5,4,3,4,4,4,4,2,4.2,3.6
21–23,Male,Yes,The Imitation Game,2–3 times,Within last 1 month,4,4,4,4,4,5,5,5,4,3,4.0,4.4
18–20,Male,Yes,Wonder,1 time,Within last 1 month,5,4,4,4,5,4,5,4,4,5,4.4,4.4
24 or above,Female,Yes,The Bicycle Thief,1 time,More than 6 months ago,4,4,4,4,5,3,3,5,4,4,4.2,3.8
24 or above,Female,Yes,The Year of Magical Thinking,2–3 times,1–6 months ago,4,5,3,3,5,4,1,4,2,4,4.0,3.0
21–23,Prefer not to say,Yes,Amour,1 time,1–6 months ago,4,4,4,4,5,5,4,5,4,5,4.2,4.6
24 or above,Male,Yes,The Remains of the Day,2–3 times,Within last 1 month,5,5,5,4,5,3,5,3,3,5,4.8,3.8
18–20,Female,Yes,Ferris Bueller,1 time,1–6 months ago,2,1,1,1,2,1,1,1,2,1,1.4,1.2
21–23,Female,Yes,Aftersun,1 time,Within last 1 month,4,4,4,3,4,3,5,5,5,3,3.8,4.2
21–23,Male,Yes,Moonlight,1 time,1–6 months ago,5,4,3,5,5,4,4,3,4,5,4.4,4.0
Under 18,Female,Yes,Castle in the Sky,2–3 times,1–6 months ago,3,4,4,4,4,4,3,3,2,3,3.8,3.0
21–23,Female,Yes,A Silent Voice,2–3 times,More than 6 months ago,4,5,3,5,5,5,5,4,3,4,4.4,4.2
18–20,Male,Yes,Call Me by Your Name,2–3 times,Within last 1 month,5,3,5,4,5,5,5,4,5,5,4.4,4.8
24 or above,Female,Yes,Wit,1 time,1–6 months ago,4,5,4,5,3,4,5,5,3,4,4.2,4.2
24 or above,Male,Yes,Good Will Hunting,1 time,More than 6 months ago,4,3,4,3,4,4,4,5,4,4,3.6,4.2
21–23,Female,Yes,Good Will Hunting,1 time,1–6 months ago,2,3,3,3,2,1,3,2,2,2,2.6,2.0
24 or above,Female,Yes,Manchester by the Sea,2–3 times,More than 6 months ago,3,4,5,5,4,4,4,5,4,4,4.2,4.2
Under 18,Female,Yes,When Marnie Was There,2–3 times,Within last 1 month,2,2,2,2,3,3,3,2,1,5,2.2,2.8
18–20,Male,Yes,Me Before You,2–3 times,1–6 months ago,5,3,4,3,3,4,4,3,3,4,3.6,3.6
18–20,Female,Yes,Everything Everywhere All at Once,2–3 times,Within last 1 month,5,4,5,2,5,5,5,5,4,5,4.2,4.8
24 or above,Male,Yes,Ghost,1 time,1–6 months ago,4,4,5,4,3,4,3,4,4,5,4.0,4.0
24 or above,Male,Yes,Notting Hill,More than 3 times,Within last 1 month,4,5,2,4,4,4,3,5,4,3,3.8,3.8
Under 18,Female,Yes,Zootopia,2–3 times,Within last 1 month,3,2,3,2,3,4,1,4,3,3,2.6,3.0
18–20,Male,Yes,About Time,1 time,1–6 months ago,4,4,5,5,4,3,3,2,5,4,4.4,3.4
21–23,Female,Yes,Portrait of a Lady on Fire,1 time,1–6 months ago,2,1,2,2,3,2,2,2,1,1,2.0,1.6
18–20,Male,Yes,Avengers Endgame,1 time,Within last 1 month,4,4,4,4,2,2,2,1,1,2,3.6,1.6
24 or above,Male,Yes,The Sweet Hereafter,1 time,Within last 1 month,5,5,4,5,5,3,4,3,3,4,4.8,3.4
18–20,Male,Yes,Her,More than 3 times,1–6 months ago,5,4,5,5,4,3,5,4,5,5,4.6,4.4
24 or above,Male,Yes,Wild Strawberries,1 time,More than 6 months ago,5,4,5,5,5,5,5,3,4,5,4.8,4.4
18–20,Male,Yes,Five Feet Apart,2–3 times,Within last 1 month,4,3,3,5,4,3,2,5,4,4,3.8,3.6
18–20,Male,Yes,To All the Boys I've Loved Before,2–3 times,More than 6 months ago,1,2,3,3,2,4,2,1,2,2,2.2,2.2
21–23,Female,Yes,The Florida Project,1 time,Within last 1 month,4,4,4,3,3,3,4,4,4,5,3.6,4.0
Under 18,Male,Yes,A Silent Voice,More than 3 times,Within last 1 month,1,2,3,2,2,3,1,1,2,1,2.0,1.6
24 or above,Female,Yes,On Golden Pond,1 time,1–6 months ago,1,1,1,1,1,1,1,2,1,1,1.0,1.2
21–23,Male,Yes,Nomadland,More than 3 times,Within last 1 month,3,1,1,3,3,1,2,3,3,3,2.2,2.4
Under 18,Male,Yes,Balto,More than 3 times,1–6 months ago,3,2,2,3,3,2,2,3,2,2,2.6,2.2
24 or above,Female,Yes,The Pianist,1 time,1–6 months ago,3,4,2,4,5,4,3,4,2,4,3.6,3.4
24 or above,Female,Yes,Ida,1 time,More than 6 months ago,5,4,5,4,5,3,3,2,2,4,4.6,2.8
24 or above,Male,Yes,Forrest Gump,1 time,More than 6 months ago,5,4,4,4,2,4,4,4,2,2,3.8,3.2
21–23,Female,Yes,Capernaum,1 time,1–6 months ago,3,4,4,5,3,2,5,3,3,4,3.8,3.4
24 or above,Female,Yes,Kramer vs. Kramer,2–3 times,1–6 months ago,5,4,5,4,5,4,3,3,4,4,4.6,3.6
21–23,Male,Yes,Prisoners,2–3 times,1–6 months ago,1,2,2,2,3,1,1,2,2,1,2.0,1.4
24 or above,Female,Yes,Ida,1 time,1–6 months ago,3,2,4,2,3,3,3,3,3,2,2.8,2.8
18–20,Prefer not to say,Yes,Eighth Grade,1 time,Within last 1 month,3,3,2,3,4,4,3,3,3,3,3.0,3.2
24 or above,Male,Yes,The Year of Magical Thinking,2–3 times,Within last 1 month,4,3,3,3,3,5,4,2,3,3,3.2,3.4
18–20,Female,Yes,Where the Crawdads Sing,1 time,Within last 1 month,4,2,4,5,4,5,5,2,3,4,3.8,3.8
Under 18,Female,Yes,Mirai,More than 3 times,1–6 months ago,3,4,3,3,4,3,4,5,3,3,3.4,3.6
18–20,Female,Yes,Boyhood,2–3 times,Within last 1 month,4,3,4,5,5,4,4,4,2,3,4.2,3.4
24 or above,Female,Yes,An Affair to Remember,1 time,Within last 1 month,5,5,4,5,3,4,5,5,5,3,4.4,4.4
21–23,Male,Yes,Nightcrawler,1 time,Within last 1 month,5,5,4,5,5,4,5,5,5,5,4.8,4.8
24 or above,Male,Yes,Atonement,1 time,Within last 1 month,2,2,2,1,2,1,1,1,2,1,1.8,1.2
21–23,Prefer not to say,Yes,Prisoners,More than 3 times,Within last 1 month,4,2,2,3,2,2,1,3,2,3,2.6,2.2
21–23,Female,Yes,Wild,More than 3 times,Within last 1 month,3,3,3,4,3,4,1,2,2,3,3.2,2.4
21–23,Prefer not to say,Yes,Boyhood,1 time,Within last 1 month,2,1,2,3,2,1,2,1,2,1,2.0,1.4
18–20,Female,Yes,The Hunger Games,2–3 times,More than 6 months ago,1,2,2,3,3,1,2,2,2,3,2.2,2.0
Under 18,Male,Yes,Aladdin,1 time,1–6 months ago,4,3,3,5,4,5,4,2,2,3,3.8,3.2
24 or above,Prefer not to say,Yes,A Grief Observed,1 time,1–6 months ago,4,4,3,4,3,3,4,3,4,4,3.6,3.6
21–23,Female,Yes,The Lives of Others,2–3 times,1–6 months ago,5,5,5,5,4,3,4,4,3,5,4.8,3.8
Under 18,Female,Yes,How to Train Your Dragon,2–3 times,1–6 months ago,2,5,4,3,4,2,5,4,3,4,3.6,3.6
21–23,Female,Yes,Nightcrawler,2–3 times,More than 6 months ago,3,5,5,5,3,4,5,4,4,4,4.2,4.2
24 or above,Male,Yes,Forrest Gump,2–3 times,1–6 months ago,4,3,5,3,4,4,3,3,3,1,3.8,2.8
18–20,Female,Yes,Silver Linings Playbook,More than 3 times,Within last 1 month,2,3,3,3,2,4,3,1,3,3,2.6,2.8
Under 18,Male,Yes,Kung Fu Panda,2–3 times,Within last 1 month,4,4,5,4,5,5,4,5,5,5,4.4,4.8
24 or above,Female,Yes,Capernaum,2–3 times,1–6 months ago,2,3,5,3,2,3,3,4,2,3,3.0,3.0
21–23,Male,Yes,In the Mood for Love,2–3 times,1–6 months ago,5,4,5,4,5,4,4,3,4,4,4.6,3.8
18–20,Female,Yes,Logan,1 time,More than 6 months ago,5,2,4,4,4,5,5,4,4,4,3.8,4.4
18–20,Female,Yes,About Time,1 time,Within last 1 month,2,3,2,3,3,2,4,5,4,4,2.6,3.8
Under 18,Male,Yes,Toy Story 4,2–3 times,More than 6 months ago,2,3,3,3,3,3,4,4,3,4,2.8,3.6
21–23,Male,Yes,Never Let Me Go,1 time,1–6 months ago,3,4,4,5,5,5,3,5,3,4,4.2,4.0
21–23,Female,Yes,About Time,2–3 times,Within last 1 month,3,4,3,3,3,4,3,3,2,2,3.2,2.8
18–20,Female,Yes,A Silent Voice,More than 3 times,Within last 1 month,5,4,4,3,5,5,5,4,4,3,4.2,4.2
24 or above,Female,Yes,Sophie's Choice,1 time,Within last 1 month,4,4,1,4,2,3,3,3,3,3,3.0,3.0
18–20,Male,Yes,Everything Everywhere All at Once,1 time,Within last 1 month,5,3,3,4,4,4,4,4,5,4,3.8,4.2
21–23,Female,Yes,Hachi A Dog's Tale,2–3 times,Within last 1 month,3,1,2,2,1,3,3,2,1,2,1.8,2.2
24 or above,Male,Yes,When Breath Becomes Air,2–3 times,Within last 1 month,5,4,4,4,5,4,5,3,4,5,4.4,4.2
24 or above,Female,Yes,Midnight Cowboy,2–3 times,More than 6 months ago,5,5,4,5,4,5,5,5,4,3,4.6,4.4
Under 18,Female,Yes,Only Yesterday,More than 3 times,1–6 months ago,4,3,5,4,3,4,4,4,3,5,3.8,4.0
24 or above,Female,Yes,Mystic River,1 time,More than 6 months ago,4,5,5,4,4,5,3,4,4,5,4.4,4.2
21–23,Female,Yes,First Reformed,1 time,Within last 1 month,1,1,1,1,1,1,2,1,1,1,1.0,1.2
18–20,Prefer not to say,Yes,If I Stay,More than 3 times,More than 6 months ago,4,5,4,4,4,3,4,4,2,2,4.2,3.0
24 or above,Female,Yes,Past Lives,1 time,Within last 1 month,4,5,5,4,5,5,5,3,3,3,4.6,3.8
Under 18,Male,Yes,Brave,2–3 times,1–6 months ago,3,4,4,4,5,5,3,4,4,4,4.0,4.0
21–23,Male,Yes,Amour,More than 3 times,Within last 1 month,5,4,3,3,3,3,3,4,4,2,3.6,3.2
18–20,Female,Yes,The Fault in Our Stars,2–3 times,Within last 1 month,4,5,5,4,5,3,4,4,3,3,4.6,3.4
Under 18,Female,Yes,Aladdin,2–3 times,1–6 months ago,5,5,5,5,4,3,5,4,4,5,4.8,4.2
24 or above,Male,Yes,Out of Africa,1 time,1–6 months ago,5,5,4,4,5,3,4,5,4,5,4.6,4.2
24 or above,Male,Yes,About Time,1 time,More than 6 months ago,3,4,4,3,3,3,4,4,3,4,3.4,3.6
Under 18,Male,Yes,Song of the Sea,1 time,More than 6 months ago,1,3,1,2,2,2,4,3,1,2,1.8,2.4
18–20,Male,Yes,Love Rosie,More than 3 times,More than 6 months ago,5,4,2,5,5,5,4,4,5,3,4.2,4.2
24 or above,Female,Yes,Million Dollar Baby,2–3 times,1–6 months ago,4,4,3,4,3,4,3,4,4,4,3.6,3.8
21–23,Male,Yes,Grave of the Fireflies,More than 3 times,Within last 1 month,4,3,4,4,3,5,4,5,3,3,3.6,4.0
21–23,Male,Yes,In the Mood for Love,1 time,1–6 months ago,3,3,5,5,4,4,3,4,3,3,4.0,3.4
21–23,Male,Yes,The Farewell,More than 3 times,1–6 months ago,4,4,5,4,3,3,2,3,4,3,4.0,3.0
24 or above,Male,Yes,Atonement,1 time,Within last 1 month,5,4,5,5,5,3,4,5,4,5,4.8,4.2
24 or above,Female,Yes,The Zone of Interest,2–3 times,1–6 months ago,3,3,3,2,2,3,3,2,5,3,2.6,3.2
24 or above,Prefer not to say,Yes,Scenes from a Marriage,1 time,Within last 1 month,2,3,4,2,2,4,3,3,1,1,2.6,2.4
18–20,Female,Yes,If I Stay,2–3 times,Within last 1 month,4,4,4,4,4,3,4,4,4,4,4.0,3.8
Under 18,Male,Yes,Luca,More than 3 times,More than 6 months ago,5,5,5,3,4,4,4,5,5,5,4.4,4.6
Under 18,Female,Yes,Mulan,2–3 times,1–6 months ago,3,2,3,3,1,4,2,3,3,1,2.4,2.6
24 or above,Female,Yes,One Flew Over the Cuckoo's Nest,1 time,1–6 months ago,3,4,3,3,3,4,3,2,3,3,3.2,3.0
24 or above,Female,Yes,Scenes from a Marriage,1 time,More than 6 months ago,4,4,5,4,5,4,4,4,4,4,4.4,4.0
24 or above,Female,Yes,A Little Life,1 time,More than 6 months ago,5,4,5,5,5,3,4,3,4,4,4.8,3.6
Under 18,Male,Yes,Soul,More than 3 times,Within last 1 month,3,5,5,4,4,4,5,5,4,5,4.2,4.6
21–23,Male,Yes,Yi Yi,1 time,1–6 months ago,2,1,2,2,2,1,1,1,3,1,1.8,1.4
18–20,Female,Yes,The Notebook,1 time,Within last 1 month,4,5,3,3,5,4,4,3,4,4,4.0,3.8
21–23,Female,Yes,The Florida Project,1 time,1–6 months ago,5,5,2,4,3,2,2,4,4,3,3.8,3.0
Under 18,Female,Yes,Soul,More than 3 times,1–6 months ago,2,2,2,3,1,3,4,1,2,2,2.0,2.4
24 or above,Female,Yes,Eleanor Oliphant is Completely Fine,More than 3 times,1–6 months ago,2,1,4,2,3,1,3,2,2,3,2.4,2.2
24 or above,Female,Yes,Fried Green Tomatoes,2–3 times,More than 6 months ago,3,2,1,4,4,2,3,2,2,2,2.8,2.2
21–23,Male,Yes,Bohemian Rhapsody,2–3 times,More than 6 months ago,3,3,2,3,5,2,3,3,3,3,3.2,2.8
21–23,Female,Yes,Little Women,2–3 times,More than 6 months ago,3,3,2,2,2,2,2,3,3,2,2.4,2.4
24 or above,Prefer not to say,Yes,The Father,1 time,Within last 1 month,5,4,2,5,4,2,2,4,2,2,4.0,2.4
21–23,Female,Yes,Drive My Car,2–3 times,More than 6 months ago,3,1,3,1,3,2,1,1,2,3,2.2,1.8
21–23,Female,Yes,The Social Network,2–3 times,1–6 months ago,1,1,1,1,1,2,1,1,1,1,1.0,1.2
24 or above,Female,Yes,Brokeback Mountain,2–3 times,More than 6 months ago,3,5,5,5,3,5,5,4,3,5,4.2,4.4
24 or above,Female,Yes,Cast Away,1 time,Within last 1 month,3,4,4,4,4,5,4,3,3,4,3.8,3.8
24 or above,Male,Yes,Cries and Whispers,1 time,1–6 months ago,2,2,2,3,2,4,3,4,4,2,2.2,3.4
21–23,Male,Yes,Forrest Gump,More than 3 times,1–6 months ago,3,3,3,3,4,3,3,3,1,4,3.2,2.8
24 or above,Female,Yes,The Boy in the Striped Pyjamas,2–3 times,1–6 months ago,5,4,5,5,5,5,4,5,5,5,4.8,4.8
21–23,Female,Yes,Spirited Away,2–3 times,Within last 1 month,5,5,4,4,4,3,4,3,4,3,4.4,3.4
Under 18,Male,Yes,Ratatouille,More than 3 times,1–6 months ago,2,3,3,4,4,3,2,2,2,1,3.2,2.0
21–23,Prefer not to say,Yes,Capernaum,2–3 times,1–6 months ago,4,4,4,2,2,2,3,3,3,2,3.2,2.6
24 or above,Female,Yes,The Green Mile,2–3 times,Within last 1 month,3,3,3,5,3,3,3,4,4,5,3.4,3.8
21–23,Female,Yes,The Kite Runner,1 time,1–6 months ago,3,5,3,3,3,3,4,4,4,2,3.4,3.4
21–23,Female,Yes,Moonlight,1 time,1–6 months ago,3,3,3,3,3,2,2,2,1,2,3.0,1.8
Under 18,Prefer not to say,Yes,Toy Story 3,More than 3 times,Within last 1 month,2,4,1,3,4,1,3,1,3,3,2.8,2.2
18–20,Male,Yes,Eighth Grade,2–3 times,1–6 months ago,1,1,2,2,1,1,2,1,2,1,1.4,1.4
21–23,Male,Yes,Short Term 12,1 time,1–6 months ago,5,5,5,4,5,3,3,5,3,4,4.8,3.6
21–23,Female,Yes,Pan's Labyrinth,1 time,Within last 1 month,4,3,3,3,3,3,3,3,1,2,3.2,2.4
18–20,Female,Yes,Inception,More than 3 times,Within last 1 month,4,5,2,3,4,4,2,3,2,1,3.6,2.4
24 or above,Female,Yes,When Breath Becomes Air,More than 3 times,More than 6 months ago,4,4,3,3,4,5,4,3,3,4,3.6,3.8
18–20,Prefer not to say,Yes,Dead Poets Society,1 time,1–6 months ago,4,4,4,3,4,3,3,3,3,1,3.8,2.6
18–20,Female,Yes,Dear John,1 time,1–6 months ago,2,1,1,2,2,3,1,1,2,1,1.6,1.6
24 or above,Female,Yes,The Lives of Others,More than 3 times,1–6 months ago,5,5,4,4,5,5,4,3,4,5,4.6,4.2
Under 18,Prefer not to say,Yes,Frozen,2–3 times,More than 6 months ago,2,3,2,2,3,2,3,2,3,3,2.4,2.6
24 or above,Female,Yes,Roma,1 time,More than 6 months ago,4,5,4,4,5,4,5,5,4,4,4.4,4.4
18–20,Female,Yes,Twilight,1 time,Within last 1 month,3,2,2,3,3,2,3,3,3,3,2.6,2.8
Under 18,Male,Yes,Porco Rosso,1 time,Within last 1 month,3,4,4,4,4,3,5,3,3,3,3.8,3.4
18–20,Female,Yes,The Breakfast Club,1 time,Within last 1 month,3,3,3,3,4,4,4,3,3,2,3.2,3.2
24 or above,Female,Yes,Terms of Endearment,2–3 times,Within last 1 month,4,5,4,5,4,4,4,3,4,4,4.4,3.8
21–23,Male,Yes,Decision to Leave,More than 3 times,1–6 months ago,1,2,1,2,2,1,2,1,2,3,1.6,1.8
18–20,Female,Yes,Forrest Gump,More than 3 times,Within last 1 month,5,5,4,3,5,4,3,2,4,3,4.4,3.2
18–20,Female,Yes,Avengers Infinity War,1 time,More than 6 months ago,4,2,3,3,1,3,3,2,2,2,2.6,2.4
24 or above,Male,Yes,A Man Called Ove,2–3 times,More than 6 months ago,3,4,3,3,2,3,1,2,4,2,3.0,2.4
18–20,Female,Yes,Twilight,1 time,More than 6 months ago,4,4,4,5,5,4,4,4,5,4,4.4,4.2
Under 18,Female,Yes,Beauty and the Beast,2–3 times,Within last 1 month,5,3,4,4,5,4,3,5,4,5,4.2,4.2
21–23,Male,Yes,There Will Be Blood,1 time,Within last 1 month,3,4,5,4,4,4,4,5,3,5,4.0,4.2
24 or above,Male,Yes,The Green Mile,1 time,Within last 1 month,5,3,4,3,5,4,3,4,4,3,4.0,3.6
Under 18,Female,Yes,Paddington 2,More than 3 times,More than 6 months ago,3,4,5,5,3,4,5,4,3,4,4.0,4.0
18–20,Male,Yes,Where the Crawdads Sing,2–3 times,Within last 1 month,3,3,2,2,2,3,3,2,3,2,2.4,2.6
18–20,Male,Yes,A Walk to Remember,2–3 times,1–6 months ago,3,4,3,4,4,5,5,3,5,5,3.6,4.6
24 or above,Female,Yes,Kramer vs. Kramer,1 time,1–6 months ago,5,4,4,4,5,4,4,5,3,4,4.4,4.0
21–23,Prefer not to say,Yes,There Will Be Blood,1 time,1–6 months ago,3,4,3,4,3,3,4,4,3,2,3.4,3.2
24 or above,Male,Yes,Sense and Sensibility,1 time,1–6 months ago,3,3,2,3,3,3,2,3,1,3,2.8,2.4
21–23,Female,Yes,Grave of the Fireflies,2–3 times,Within last 1 month,5,5,5,4,5,5,5,5,4,5,4.8,4.8
21–23,Female,Yes,Amour,2–3 times,1–6 months ago,3,3,4,4,4,3,4,4,3,4,3.6,3.6
18–20,Female,Yes,The Breakfast Club,2–3 times,1–6 months ago,4,4,4,4,3,4,3,4,4,4,3.8,3.8
Under 18,Female,Yes,Coco,2–3 times,Within last 1 month,4,5,4,5,4,3,4,4,3,5,4.4,3.8
18–20,Male,Yes,Inception,2–3 times,More than 6 months ago,4,3,3,5,3,3,3,3,3,5,3.6,3.4
24 or above,Female,Yes,The Elephant Man,1 time,Within last 1 month,4,4,4,4,4,4,3,3,4,4,4.0,3.6
Under 18,Female,Yes,Finding Nemo,1 time,More than 6 months ago,3,5,4,5,4,4,3,4,3,4,4.2,3.6
Under 18,Male,Yes,Aladdin,2–3 times,Within last 1 month,5,4,4,5,4,5,4,4,5,5,4.4,4.6
Under 18,Female,Yes,Coco,2–3 times,1–6 months ago,4,2,3,4,4,4,3,4,2,3,3.4,3.2
Under 18,Male,Yes,Toy Story 4,2–3 times,More than 6 months ago,3,4,3,3,4,3,2,3,4,3,3.4,3.0
21–23,Female,Yes,Life is Beautiful,1 time,More than 6 months ago,3,3,3,3,5,2,3,3,3,3,3.4,2.8
Under 18,Female,Yes,When Marnie Was There,More than 3 times,Within last 1 month,2,2,3,3,2,2,3,2,2,1,2.4,2.0
Under 18,Female,Yes,Mirai,1 time,More than 6 months ago,3,5,5,5,5,5,5,3,4,5,4.6,4.4
21–23,Female,Yes,A Beautiful Mind,1 time,1–6 months ago,5,4,5,5,5,4,4,5,5,4,4.8,4.4
24 or above,Prefer not to say,Yes,The Joy Luck Club,1 time,More than 6 months ago,3,1,2,3,3,4,3,3,4,2,2.4,3.2
Under 18,Male,Yes,Inside Out,1 time,1–6 months ago,4,3,4,5,5,4,3,4,4,4,4.2,3.8
21–23,Female,Yes,Room,2–3 times,1–6 months ago,4,5,4,4,4,3,4,4,4,4,4.2,3.8
21–23,Prefer not to say,Yes,Past Lives,2–3 times,1–6 months ago,5,3,4,4,5,5,5,5,5,4,4.2,4.8
24 or above,Female,Yes,The Barbarian Invasions,1 time,Within last 1 month,4,4,3,2,2,4,3,2,5,3,3.0,3.4
21–23,Female,Yes,Aftersun,2–3 times,1–6 months ago,3,1,3,3,2,1,2,2,2,2,2.4,1.8
24 or above,Female,Yes,American Beauty,1 time,More than 6 months ago,3,3,3,3,3,1,3,3,3,1,3.0,2.2
24 or above,Female,Yes,Forrest Gump,1 time,Within last 1 month,4,4,4,3,5,5,4,4,5,4,4.0,4.4
24 or above,Female,Yes,The Shawshank Redemption,More than 3 times,More than 6 months ago,1,2,2,3,2,2,3,2,3,2,2.0,2.4
24 or above,Male,Yes,Roma,1 time,More than 6 months ago,4,1,2,2,1,3,2,3,2,1,2.0,2.2
21–23,Male,Yes,Burning,2–3 times,Within last 1 month,4,5,5,5,4,4,3,3,4,4,4.6,3.6
24 or above,Male,Yes,Steel Magnolias,2–3 times,More than 6 months ago,3,2,1,2,3,2,2,2,2,1,2.2,1.8
24 or above,Male,Yes,Hiroshima Mon Amour,1 time,1–6 months ago,2,1,1,2,1,1,1,1,3,1,1.4,1.4
18–20,Male,Yes,Avengers Endgame,2–3 times,More than 6 months ago,2,2,2,2,2,1,2,2,2,1,2.0,1.6
18–20,Male,Yes,The Perks of Being a Wallflower,More than 3 times,1–6 months ago,4,4,3,4,4,4,5,4,4,4,3.8,4.2
21–23,Male,Yes,Yi Yi,1 time,1–6 months ago,3,5,3,4,4,3,3,3,2,4,3.8,3.0
24 or above,Male,Yes,Braveheart,1 time,Within last 1 month,5,5,5,5,5,5,5,5,4,5,5.0,4.8
24 or above,Female,Yes,The Savages,1 time,More than 6 months ago,5,4,5,4,5,5,5,5,4,4,4.6,4.6
21–23,Male,Yes,Inception,1 time,More than 6 months ago,5,4,5,5,5,4,5,5,3,4,4.8,4.2
Under 18,Female,Yes,The Land Before Time,More than 3 times,Within last 1 month,4,3,5,3,4,4,4,4,3,3,3.8,3.6
21–23,Male,Yes,Prisoners,1 time,1–6 months ago,4,5,5,5,5,5,5,5,4,5,4.8,4.8
Under 18,Female,Yes,The Princess and the Frog,2–3 times,1–6 months ago,4,4,4,5,3,5,3,3,4,3,4.0,3.6
24 or above,Female,Yes,Still Alice,More than 3 times,Within last 1 month,3,4,5,3,5,2,4,3,4,4,4.0,3.4
21–23,Female,Yes,Forrest Gump,1 time,1–6 months ago,4,3,3,2,4,2,3,2,2,3,3.2,2.4
24 or above,Female,Yes,The Boy in the Striped Pyjamas,2–3 times,1–6 months ago,4,5,5,4,4,5,5,4,5,4,4.4,4.6
Under 18,Male,Yes,Your Name,More than 3 times,Within last 1 month,5,4,2,3,2,4,3,3,1,4,3.2,3.0
21–23,Female,Yes,Like Father Like Son,More than 3 times,Within last 1 month,2,4,3,3,2,2,1,2,1,2,2.8,1.6
21–23,Female,Yes,The Social Network,2–3 times,1–6 months ago,1,1,1,1,1,1,1,1,2,1,1.0,1.2
18–20,Male,Yes,Avengers Infinity War,1 time,Within last 1 month,4,4,5,4,4,4,3,4,4,5,4.2,4.0
21–23,Male,Yes,Pan's Labyrinth,2–3 times,1–6 months ago,2,1,1,2,1,2,2,2,2,1,1.4,1.8
21–23,Male,Yes,Capernaum,2–3 times,1–6 months ago,2,2,2,3,4,2,3,3,2,4,2.6,2.8
24 or above,Female,Yes,A Separation,1 time,Within last 1 month,3,2,3,1,2,2,1,2,2,3,2.2,2.0
24 or above,Female,Yes,The English Patient,1 time,More than 6 months ago,4,3,3,2,3,3,3,4,2,3,3.0,3.0
21–23,Female,Yes,Nobody Knows,1 time,Within last 1 month,5,3,5,5,4,4,4,3,4,4,4.4,3.8
24 or above,Male,Yes,Eleanor Oliphant is Completely Fine,More than 3 times,1–6 months ago,4,4,5,5,5,3,4,4,5,3,4.6,3.8
18–20,Female,Yes,Love Simon,2–3 times,1–6 months ago,2,2,2,2,2,1,1,1,1,1,2.0,1.0
24 or above,Male,Yes,Roma,2–3 times,Within last 1 month,2,4,3,4,3,2,4,2,3,3,3.2,2.8
21–23,Female,Yes,There Will Be Blood,More than 3 times,More than 6 months ago,5,2,1,2,2,2,1,3,3,2,2.4,2.2
21–23,Female,Yes,Call Me by Your Name,1 time,Within last 1 month,4,3,5,4,3,3,3,2,3,3,3.8,2.8
24 or above,Prefer not to say,Yes,The Lives of Others,2–3 times,Within last 1 month,4,5,5,4,5,2,4,4,3,3,4.6,3.2
